"Região","Cidade","Ano Abertura","Mês Abertura","Data Abertura","Nome Fantasia","Área","Assunto","Grupo Problema","Problema","Forma Contato","Situação"
"SE","Guarulhos",2023,1,"2023-01-03","Azul Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-04","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-05","Gol Linhas Aéreas","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Vício de Qualidade","Serviço não realizado no prazo ou incompleto","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-06","Azul Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-06","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-07","Gol Linhas Aéreas","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-07","Azul Linhas Aéreas","Transportes","Aéreo","Vício de Qualidade","Cancelamento de voo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-09","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-09","Gol Linhas Aéreas","Transportes","Aéreo","Atendimento / SAC","Dificuldade de contato / acesso a outros canais (exceto SAC)","Telefone","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-09","Latam Airlines (Tam)","Turismo/Viagens","Pacote / excursão / agência de turismo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-10","Gol Linhas Aéreas","Transportes","Aéreo","Vício de Qualidade","Atraso de voo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-11","Cabo Verde Airlines","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Domicílio","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-13","Gol Linhas Aéreas","Transportes","Aéreo","Vício de Qualidade","Falta de acesso a comunicação, alimentação, acomodação e/ou traslado em caso de atraso, cancelamento ou interrupção de voo","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-15","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Cobrança de tarifas, taxas, valores não previstos / não informados","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-15","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-15","Gol Linhas Aéreas","Serviços Financeiros","Seguro Viagem","Atendimento / SAC","Dificuldade de contato / acesso a outros canais (exceto SAC)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-16","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Telefone","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-17","TAP Air Portugal","Serviços Financeiros","Seguro Viagem","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-17","Gol Linhas Aéreas","Transportes","Aéreo","Atendimento / SAC","Má qualidade no atendimento presencial ou outros canais (exceto SAC)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-17","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-18","Alitalia","Transportes","Aéreo","Vício de Qualidade","Cancelamento de voo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-20","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-20","Alitalia","Transportes","Aéreo","Vício de Qualidade","Cancelamento de voo","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-20","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Dificuldade / demora para alterar o contrato de serviço (alteração de voo)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-21","Azul Linhas Aéreas","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-24","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-24","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-24","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Não comprei / contratei","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-25","Latam Airlines (Tam)","Transportes","Aéreo","Informação","Informações incompletas / inadequadas sobre o serviço","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-25","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-26","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-26","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Dificuldade / demora para cancelar o serviço ","Ganhei de presente","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-26","Latam Airlines (Tam)","Turismo/Viagens","Pacote / excursão / agência de turismo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-26","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-26","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Dados Pessoais e Privacidade","Dificuldade de cancelamento / eliminação de dados / revogação do consentimento","Não comprei / contratei","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-27","Gol Linhas Aéreas","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Atendimento / SAC","Dificuldade de contato / demora no atendimento","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-27","Azul Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-30","Azul Linhas Aéreas","Transportes","Aéreo","Contrato / Oferta","Dificuldade / demora para alterar o contrato de serviço (alteração de voo)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-31","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,1,"2023-01-31","TAAG - Linhas Aéreas de Angola","Transportes","Aéreo","Atendimento / SAC","Dificuldade de contato / acesso a outros canais (exceto SAC)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,1,"2023-01-31","Sky Airline","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-01","Gol Linhas Aéreas","Transportes","Aéreo","Atendimento / SAC","Má qualidade no atendimento presencial ou outros canais (exceto SAC)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-02","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-03","Latam Airlines (Tam)","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-03","Latam Airlines (Tam)","Transportes","Cargas e Encomendas","Atendimento / SAC","Má qualidade no atendimento (descortesia / despreparo/ constrangimento)","Telefone","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-03","Lufthansa","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-04","Gol Linhas Aéreas","Transportes","Aéreo","Vício de Qualidade","Atraso de voo","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-04","American Airlines","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-04","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Entrega do Produto","Não entrega / demora na entrega do produto","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-06","Boliviana de Aviación - BoA","Transportes","Aéreo","Contrato / Oferta","Dificuldade / demora para cancelar o serviço ","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-07","TAP Air Portugal","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-07","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Falha de segurança (furto, roubo, violação)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-07","Gol Linhas Aéreas","Transportes","Aéreo","Atendimento / SAC","Falta de atendimento prioritário","Loja física","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-08","Gol Linhas Aéreas","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Não comprei / contratei","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-10","Latam Airlines (Tam)","Transportes","Aéreo","Atendimento / SAC","Má qualidade no atendimento presencial ou outros canais (exceto SAC)","Telefone","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-11","Azul Linhas Aéreas","Transportes","Aéreo","Contrato / Oferta","Dificuldade / demora para alterar o contrato de serviço (alteração de voo)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-12","Iberia Lineas Aereas","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-13","Viva Air","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-13","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-14","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-14","TAP Air Portugal","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-15","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Cobrança em duplicidade / Cobrança referente a pagamento já efetuado","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-15","Gol Linhas Aéreas","Transportes","Cargas e Encomendas","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-15","Gol Linhas Aéreas","Serviços Financeiros","Seguro Viagem","Cobrança / Contestação","Cobrança em duplicidade / Cobrança referente a pagamento já efetuado","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-15","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Dados Pessoais e Privacidade","Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-16","Alitalia","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-16","TAP Air Portugal","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-16","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Atendimento / SAC","Dificuldade de contato / demora no atendimento","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-17","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-18","Aerolíneas Argentinas","Transportes","Aéreo","Cobrança / Contestação","Cobrança em duplicidade / Cobrança referente a pagamento já efetuado","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-20","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Cobrança / Contestação","Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo","Não comprei / contratei","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-24","Gol Linhas Aéreas","Transportes","Cargas e Encomendas","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-25","Gol Linhas Aéreas","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-26","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-27","Latam Airlines (Tam)","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,2,"2023-02-27","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Atendimento / SAC","Dificuldade de contato / demora no atendimento","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-27","Latam Airlines (Tam)","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Atendimento / SAC","Dificuldade de contato / demora no atendimento","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-27","Gol Linhas Aéreas","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Telefone","Finalizada não avaliada"
"SE","Guarulhos",2023,2,"2023-02-28","Latam Airlines (Tam)","Transportes","Aéreo","Atendimento / SAC","SAC - Dificuldade para cancelar o serviço","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-01","Latam Airlines (Tam)","Serviços Financeiros","Seguro Viagem","Atendimento / SAC","SAC - Dificuldade em obter protocolo, gravação ou histórico","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-01","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-02","Azul Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-02","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)","Não comprei / contratei","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-02","KLM","Transportes","Aéreo","Contrato / Oferta","Não entrega do contrato ou documentação relacionada ao serviço","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,3,"2023-03-02","Azul Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,3,"2023-03-03","Latam Airlines (Tam)","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-03","Gol Linhas Aéreas","Demais Serviços ","Programas de Fidelidade / Benefícios (pontos, milhagem etc)","Dados Pessoais e Privacidade","Dificuldade de acesso a dados pessoais ou financeiros","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,3,"2023-03-06","Gol Linhas Aéreas","Transportes","Aéreo","Informação","Informações incompletas / inadequadas sobre o serviço","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-06","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,3,"2023-03-06","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-12","Latam Airlines (Tam)","Transportes","Aéreo","Contrato / Oferta","Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-13","Latam Airlines (Tam)","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-13","TAP Air Portugal","Transportes","Aéreo","Vício de Qualidade","Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)","Internet","Finalizada não avaliada"
"SE","Guarulhos",2023,3,"2023-03-13","Latam Airlines (Tam)","Transportes","Aéreo","Cobrança / Contestação","Cobrança indevida / abusiva para alterar ou cancelar o contrato","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-14","TAP Air Portugal","Transportes","Aéreo","Atendimento / SAC","SAC - Demanda não resolvida / não respondida / respondida após o prazo","Internet","Finalizada avaliada"
"SE","Guarulhos",2023,3,"2023-03-14","Gol Linhas Aéreas","Transportes","Aéreo","Cobrança / Contestação","Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores","Internet","Finalizada avaliada"
